t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,47.96547,48.73983,47.36142,8.34,1.67,15,15,15
1,0,0,0.767522983,1.27969,45.72061,43.19849,46.38978,8.34,1.67,15,15,15
2,0,0,0.88580179,0.628614,44.00039,44.15699,45.76987,8.34,1.67,15,15,15
3,0,0,0.88580179,0.628614,40.91203,41.84999,43.57342,8.34,1.67,15,15,15
4,0,0,0.806948283,1.06267,38.25859,39.19655,42.01928,8.34,1.67,15,15,15
5,0,0,0.728095867,1.49672,37.66047,37.63096,38.60486,8.34,1.67,15,15,15
6,0,0,0.609816333,2.1478,34.91393,35.99031,35.9977,8.34,1.67,15,15,15
7,0,0,0.530963917,2.58185,34.40395,34.47161,33.33744,8.34,1.67,15,15,15
8,0,0,0.491538617,2.79887,36.59486,37.29665,34.98808,8.34,1.67,15,15,15
9,0,0,0.491538617,2.79887,38.42642,38.1898,37.62114,8.34,1.67,15,15,15
10,0,0,0.412684383,3.23293,37.31116,38.939,37.72125,8.34,1.67,15,15,15
11,0,0,0.373259083,3.44995,37.15196,38.34528,35.19067,8.34,1.67,15,15,15
12,0,0,0.373259083,3.44995,38.06492,38.6469,37.55128,8.34,1.67,15,15,15
13,0,0,0.373259083,3.44995,38.85277,38.59707,38.31999,8.34,1.67,15,15,15
14,0,0,0.333831967,3.66698,38.07017,39.40941,37.52814,8.34,1.67,15,15,15
15,0,0,0.29440485,3.88401,38.33342,40.03101,38.53173,8.34,1.67,15,15,15
16,0,0,0.29440485,3.88401,38.41621,40.31848,39.01089,8.34,1.67,15,15,15
17,0,0,0.29440485,3.88401,38.39522,39.06902,37.60099,8.34,1.67,15,15,15
18,0,0,0.29440485,3.88401,37.61945,40.00917,37.97881,8.34,1.67,15,15,15
19,0,0,0.25497955,4.10103,37.10321,39.0066,36.95293,8.34,1.67,15,15,15
20,0,0,0.25497955,4.10103,37.39298,37.96075,37.97604,8.34,1.67,15,15,15
21,0,0,0.25497955,4.10103,37.9603,37.52921,37.05693,8.34,1.67,15,15,15
22,0,0,0.25497955,4.10103,37.18249,36.67488,34.57979,8.34,1.67,15,15,15
23,0,0,0.25497955,4.10103,37.10253,37.23339,35.78851,8.34,1.67,15,15,15
24,0,0,0.215552433,4.31806,36.83081,36.89965,35.92677,8.34,1.67,15,15,15
25,0,0,0.25497955,4.10103,36.03224,37.32933,36.46778,8.34,1.67,15,15,15
26,0,0,0.25497955,4.10103,34.52956,37.58587,34.78328,8.34,1.67,15,15,15
27,0,0,0.25497955,4.10103,36.3951,37.3414,35.96491,8.34,1.67,15,15,15
28,0,0,0.215552433,4.31806,35.37379,36.55231,33.20702,8.34,1.67,15,15,15
29,0,0,0.215552433,4.31806,36.5061,37.4725,35.48801,8.34,1.67,15,15,15
30,0,0,0.215552433,4.31806,36.04279,37.48734,34.93288,8.34,1.67,15,15,15
31,0,0,0.215552433,4.31806,35.36307,37.19796,35.13485,8.34,1.67,15,15,15
32,0,0,0.215552433,4.31806,35.06923,36.38928,35.69455,8.34,1.67,15,15,15
33,0,0,0.215552433,4.31806,35.60696,37.20253,36.61518,8.34,1.67,15,15,15
34,0,0,0.25497955,4.10103,35.83286,37.06325,36.94683,8.34,1.67,15,15,15
35,0,0,0.215552433,4.31806,35.09739,35.88585,35.06962,8.34,1.67,15,15,15
36,0,0,0.215552433,4.31806,34.86308,37.79952,31.5508,8.34,1.67,15,15,15
37,0,0,0.215552433,4.31806,35.58344,36.90761,34.9624,8.34,1.67,15,15,15
38,0,0,0.215552433,4.31806,35.6222,36.42365,35.82327,8.34,1.67,15,15,15
39,0,0,0.215552433,4.31806,34.57956,35.19371,33.50668,8.34,1.67,15,15,15
40,0,0,0.215552433,4.31806,34.83763,35.90916,32.98818,8.34,1.67,15,15,15
41,0,0,0.215552433,4.31806,34.42155,35.33293,34.04464,8.34,1.67,15,15,15
42,0,0,0.176127133,4.53508,35.26188,35.17441,35.39839,8.34,1.67,15,15,15
43,0,0,0.215552433,4.31806,35.00134,35.62655,36.3644,8.34,1.67,15,15,15
44,0,0,0.215552433,4.31806,34.48639,35.51995,33.58348,8.34,1.67,15,15,15
45,0,0,0.215552433,4.31806,34.51281,35.20015,34.22252,8.34,1.67,15,15,15
46,0,0,0.215552433,4.31806,35.30082,35.16798,37.03233,8.34,1.67,15,15,15
47,0,0,0.215552433,4.31806,34.79581,35.93246,32.28848,8.34,1.67,15,15,15
48,0,0,0.215552433,4.31806,35.30235,36.70417,35.79071,8.34,1.67,15,15,15
49,0,0,0.215552433,4.31806,35.44619,36.79458,35.61977,8.34,1.67,15,15,15
50,0,0,0.215552433,4.31806,35.21646,36.79593,36.49972,8.34,1.67,15,15,15
51,0,0,0.215552433,4.31806,34.17895,36.20718,32.91961,8.34,1.67,15,15,15
52,0,0,0.215552433,4.31806,35.80888,36.09437,37.13227,8.34,1.67,15,15,15
53,0,0,0.215552433,4.31806,35.36583,37.13661,35.53067,8.34,1.67,15,15,15
54,0,0,0.215552433,4.31806,34.33725,36.67618,34.70202,8.34,1.67,15,15,15
55,0,0,0.215552433,4.31806,34.60005,35.47683,34.90168,8.34,1.67,15,15,15
56,0,0,0.215552433,4.31806,34.82363,35.10782,36.12733,8.34,1.67,15,15,15
57,0,0,0.215552433,4.31806,33.94769,35.31871,33.96886,8.34,1.67,15,15,15
58,0,0,0.215552433,4.31806,33.23151,34.97244,33.17452,8.34,1.67,15,15,15
59,0,0,0.215552433,4.31806,33.56994,34.80191,31.71349,8.34,1.67,15,15,15
60,0,0,0.215552433,4.31806,33.59257,34.39542,32.97650,8.34,1.67,15,15,15
