t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.50,0,8.34,1.67,15,15,15
2,1,1,1.14,2.67,8.34,1.67,15,15,15
5,1,1,0.89,4.72,8.34,1.67,15,15,15
10,1,1,0.53,6.46,8.34,1.67,15,15,15
15,1,1,0.46,6.87,8.34,1.67,15,15,15
20,1,1,0.38,6.87,8.34,1.67,15,15,15
30,1,1,0.34,6.56,8.34,1.67,15,15,15
32,0,0,0.36,6.56,8.34,1.67,15,15,15
35,0,0,0.33,6.67,8.34,1.67,15,15,15
40,0,0,0.37,6.56,8.34,1.67,15,15,15
45,0,0,0.37,6.67,8.34,1.67,15,15,15
50,0,0,0.37,6.46,8.34,1.67,15,15,15
60,0,0,0.33,6.46,8.34,1.67,15,15,15
70,0,0,0.34,6.26,8.34,1.67,15,15,15
80,0,0,0.33,5.85,8.34,1.67,15,15,15
90,0,0,0.32,6.05,8.34,1.67,15,15,15
