t,R_top,R_bot,c_bot_3,c_top_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,1,1,1.0,0,8.34,1.67,15,15,15
2,1,1,0.71,1.12,8.34,1.67,15,15,15
5,1,1,0.48,3.35,8.34,1.67,15,15,15
10,1,1,0.37,3.91,8.34,1.67,15,15,15
15,1,1,0.31,4.25,8.34,1.67,15,15,15
20,1,1,0.27,4.81,8.34,1.67,15,15,15
30,1,1,0.23,4.92,8.34,1.67,15,15,15
32,0,0,0.22,4.70,8.34,1.67,15,15,15
35,0,0,0.22,4.81,8.34,1.67,15,15,15
40,0,0,0.21,5.30,8.34,1.67,15,15,15
45,0,0,0.20,4.92,8.34,1.67,15,15,15
50,0,0,0.18,5.03,8.34,1.67,15,15,15
60,0,0,0.16,5.03,8.34,1.67,15,15,15
62,0,0,0.09,4.58,8.34,1.67,30,20,20
65,0,0,0.08,4.58,8.34,1.67,30,20,20
70,0,0,0.06,4.58,8.34,1.67,30,20,20
75,0,0,0.08,4.58,8.34,1.67,30,20,20
80,0,0,0.06,4.47,8.34,1.67,30,20,20
90,0,0,0.05,4.58,8.34,1.67,30,20,20
