t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,46.70710,48.75603,47.25787,5.56,1.11,15,15,15
1,0,0,0.806948283,1.06267,44.05941,43.00589,45.16278,5.56,1.11,15,15,15
2,0,0,0.767522983,1.27969,40.5696,38.83087,43.41152,5.56,1.11,15,15,15
3,0,0,0.767522983,1.27969,32.1667,35.1256,39.0408,5.56,1.11,15,15,15
4,0,0,0.767522983,1.27969,31.62089,31.88911,35.13773,5.56,1.11,15,15,15
5,0,0,0.767522983,1.27969,34.42059,36.81055,36.71032,5.56,1.11,15,15,15
6,0,0,0.609816333,2.1478,37.18859,36.91681,36.96178,5.56,1.11,15,15,15
7,0,0,0.491538617,2.79887,35.39281,36.8952,35.31594,5.56,1.11,15,15,15
8,0,0,0.4521115,3.0159,35.39117,35.93139,36.62613,5.56,1.11,15,15,15
9,0,0,0.412684383,3.23293,36.15306,36.24798,35.97558,5.56,1.11,15,15,15
10,0,0,0.373259083,3.44995,35.90487,35.74759,36.26451,5.56,1.11,15,15,15
11,0,0,0.412684383,3.23293,38.30278,38.59945,40.00996,5.56,1.11,15,15,15
12,0,0,0.412684383,3.23293,38.56739,39.32465,39.57741,5.56,1.11,15,15,15
13,0,0,0.412684383,3.23293,38.81022,38.67489,39.78655,5.56,1.11,15,15,15
14,0,0,0.373259083,3.44995,38.13806,37.76973,39.68057,5.56,1.11,15,15,15
15,0,0,0.333831967,3.66698,36.75903,37.11568,39.27618,5.56,1.11,15,15,15
16,0,0,0.333831967,3.66698,35.52751,37.32109,38.75965,5.56,1.11,15,15,15
17,0,0,0.373259083,3.44995,35.89911,37.00247,39.3334,5.56,1.11,15,15,15
18,0,0,0.333831967,3.66698,37.14434,39.50247,41.29323,5.56,1.11,15,15,15
19,0,0,0.333831967,3.66698,38.10724,38.78844,39.4909,5.56,1.11,15,15,15
20,0,0,0.29440485,3.88401,36.34617,37.74168,40.13586,5.56,1.11,15,15,15
21,0,0,0.29440485,3.88401,35.99353,37.44835,39.82679,5.56,1.11,15,15,15
22,0,0,0.29440485,3.88401,34.92685,37.92232,38.7482,5.56,1.11,15,15,15
23,0,0,0.25497955,4.10103,34.5202,37.16099,38.96174,5.56,1.11,15,15,15
24,0,0,0.25497955,4.10103,36.31507,37.12685,39.90009,5.56,1.11,15,15,15
25,0,0,0.25497955,4.10103,38.88031,38.56987,40.21752,5.56,1.11,15,15,15
26,0,0,0.25497955,4.10103,37.12064,38.04477,39.68678,5.56,1.11,15,15,15
27,0,0,0.25497955,4.10103,37.0558,36.55514,38.5131,5.56,1.11,15,15,15
28,0,0,0.25497955,4.10103,34.5277,35.77795,37.31099,5.56,1.11,15,15,15
29,0,0,0.215552433,4.31806,36.45723,38.06735,39.37651,5.56,1.11,15,15,15
30,0,0,0.25497955,4.10103,37.86205,37.36279,37.93784,5.56,1.11,15,15,15
31,0,0,0.25497955,4.10103,34.76195,35.17419,36.5952,5.56,1.11,15,15,15
32,0,0,0.215552433,4.31806,37.46764,34.9804,36.90778,5.56,1.11,15,15,15
33,0,0,0.215552433,4.31806,36.76298,35.50759,38.08422,5.56,1.11,15,15,15
34,0,0,0.215552433,4.31806,37.96244,36.59419,36.78199,5.56,1.11,15,15,15
35,0,0,0.25497955,4.10103,34.14137,34.55846,35.60538,5.56,1.11,15,15,15
36,0,0,0.215552433,4.31806,35.87857,35.17549,36.17196,5.56,1.11,15,15,15
37,0,0,0.215552433,4.31806,36.31671,35.50973,36.29154,5.56,1.11,15,15,15
38,0,0,0.215552433,4.31806,33.42637,35.18581,35.45968,5.56,1.11,15,15,15
39,0,0,0.215552433,4.31806,35.94878,33.76942,35.11426,5.56,1.11,15,15,15
40,0,0,0.215552433,4.31806,35.38733,33.74296,34.62443,5.56,1.11,15,15,15
41,0,0,0.215552433,4.31806,36.06886,33.74482,33.96406,5.56,1.11,15,15,15
42,0,0,0.176127133,4.53508,32.74123,33.49928,33.68935,5.56,1.11,15,15,15
43,0,0,0.176127133,4.53508,33.76807,34.23702,34.82183,5.56,1.11,15,15,15
44,0,0,0.176127133,4.53508,33.72614,36.44617,35.48496,5.56,1.11,15,15,15
45,0,0,0.176127133,4.53508,36.21113,34.22748,35.2037,5.56,1.11,15,15,15
46,0,0,0.176127133,4.53508,36.12106,35.49043,37.0317,5.56,1.11,15,15,15
47,0,0,0.176127133,4.53508,36.19894,36.6026,36.80699,5.56,1.11,15,15,15
48,0,0,0.176127133,4.53508,36.79983,36.98001,36.7904,5.56,1.11,15,15,15
49,0,0,0.176127133,4.53508,36.53064,36.5776,38.53844,5.56,1.11,15,15,15
50,0,0,0.176127133,4.53508,35.70679,36.47275,37.55207,5.56,1.11,15,15,15
