t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1.5,0,47.16256,47.54663,46.86612,8.34,1.67,30,20,10
1,0,0,1.3463754,0.84564,42.48699,44.92678,45.81710,8.34,1.67,30,20,10
2,0,0,1.228095867,1.49672,39.86285,42.10867,41.78605,8.34,1.67,30,20,10
3,0,0,1.109816333,2.1478,37.22939,39.85709,37.65522,8.34,1.67,30,20,10
4,0,0,0.991538617,2.79887,37.44191,36.7983,33.93251,8.34,1.67,30,20,10
5,0,0,0.873259083,3.44995,35.21837,36.25441,33.99606,8.34,1.67,30,20,10
6,0,0,0.79440485,3.88401,36.66935,38.00894,34.03889,8.34,1.67,30,20,10
7,0,0,0.676127133,4.53508,37.92582,38.64622,37.61279,8.34,1.67,30,20,10
8,0,0,0.636700017,4.75211,39.23165,38.26147,38.63477,8.34,1.67,30,20,10
9,0,0,0.5972729,4.96914,39.70563,40.53264,40.12915,8.34,1.67,30,20,10
10,0,0,0.5972729,4.96914,39.36901,40.96835,40.05624,8.34,1.67,30,20,10
11,0,0,0.5578476,5.18616,38.81947,40.88088,41.2667,8.34,1.67,30,20,10
12,0,0,0.5578476,5.18616,40.63021,41.39368,41.73137,8.34,1.67,30,20,10
13,0,0,0.5578476,5.18616,40.00838,41.73278,41.78069,8.34,1.67,30,20,10
14,0,0,0.5972729,4.96914,39.96358,42.04112,41.57827,8.34,1.67,30,20,10
15,0,0,0.5578476,5.18616,41.14137,42.00613,41.79186,8.34,1.67,30,20,10
16,0,0,0.5578476,5.18616,38.97099,41.98847,41.71032,8.34,1.67,30,20,10
17,0,0,0.5578476,5.18616,38.08162,41.49633,41.52302,8.34,1.67,30,20,10
18,0,0,0.5578476,5.18616,39.43018,41.99592,41.47968,8.34,1.67,30,20,10
19,0,0,0.5578476,5.18616,38.81637,41.83334,41.5483,8.34,1.67,30,20,10
20,0,0,0.518420483,5.40319,40.19213,41.26016,40.75616,8.34,1.67,30,20,10
21,0,0,0.518420483,5.40319,39.2983,41.48154,40.26481,8.34,1.67,30,20,10
22,0,0,0.518420483,5.40319,39.65523,41.52105,40.75165,8.34,1.67,30,20,10
23,0,0,0.518420483,5.40319,39.85732,41.37376,40.51131,8.34,1.67,30,20,10
24,0,0,0.518420483,5.40319,36.48883,41.40801,40.52756,8.34,1.67,30,20,10
25,0,0,0.518420483,5.40319,39.5365,40.84318,40.27948,8.34,1.67,30,20,10
26,0,0,0.518420483,5.40319,39.10463,40.62186,40.08259,8.34,1.67,30,20,10
27,0,0,0.518420483,5.40319,37.58953,39.98801,40.53794,8.34,1.67,30,20,10
28,0,0,0.478995183,5.62021,37.34411,40.39506,39.99168,8.34,1.67,30,20,10
29,0,0,0.478995183,5.62021,38.00098,41.40801,40.33975,8.34,1.67,30,20,10
30,0,0,0.478995183,5.62021,39.2018,41.85637,39.98367,8.34,1.67,30,20,10
31,0,0,0.439568067,5.83724,39.24728,41.73498,40.26701,8.34,1.67,30,20,10
32,0,0,0.439568067,5.83724,37.53581,41.75146,40.25894,8.34,1.67,30,20,10
33,0,0,0.439568067,5.83724,39.84891,41.47071,40.11448,8.34,1.67,30,20,10
34,0,0,0.439568067,5.83724,39.64671,42.00399,41.10339,8.34,1.67,30,20,10
35,0,0,0.439568067,5.83724,40.01222,42.23756,40.18225,8.34,1.67,30,20,10
36,0,0,0.439568067,5.83724,40.11752,41.19995,40.26854,8.34,1.67,30,20,10
37,0,0,0.439568067,5.83724,38.4692,41.08059,40.45329,8.34,1.67,30,20,10
38,0,0,0.439568067,5.83724,39.42905,41.7229,40.7025,8.34,1.67,30,20,10
39,0,0,0.40014095,6.05427,38.2876,42.09473,40.64957,8.34,1.67,30,20,10
40,0,0,0.439568067,5.83724,40.928,42.23954,40.75679,8.34,1.67,30,20,10
41,0,0,0.439568067,5.83724,38.54922,41.55321,40.41887,8.34,1.67,30,20,10
42,0,0,0.439568067,5.83724,38.98222,41.46444,40.06764,8.34,1.67,30,20,10
43,0,0,0.439568067,5.83724,38.86219,41.07168,42.06251,8.34,1.67,30,20,10
44,0,0,0.439568067,5.83724,39.47499,40.74443,41.88526,8.34,1.67,30,20,10
45,0,0,0.40014095,6.05427,38.54606,40.9477,41.71145,8.34,1.67,30,20,10
46,0,0,0.40014095,6.05427,41.02941,41.03122,41.7961,8.34,1.67,30,20,10
47,0,0,0.40014095,6.05427,38.17169,41.3987,41.57612,8.34,1.67,30,20,10
48,0,0,0.40014095,6.05427,37.45867,42.35567,41.36473,8.34,1.67,30,20,10
49,0,0,0.439568067,5.83724,38.92568,42.12272,41.21795,8.34,1.67,30,20,10
50,0,0,0.439568067,5.83724,38.35267,42.28988,40.45538,8.34,1.67,30,20,10
51,0,0,0.439568067,5.83724,38.10899,41.63244,40.63044,8.34,1.67,30,20,10
52,0,0,0.439568067,5.83724,39.25502,41.618,40.27023,8.34,1.67,30,20,10
53,0,0,0.439568067,5.83724,38.25605,41.80343,40.17988,8.34,1.67,30,20,10
54,0,0,0.439568067,5.83724,39.36179,41.7338,40.32384,8.34,1.67,30,20,10
55,0,0,0.40014095,6.05427,38.1608,41.282,40.29749,8.34,1.67,30,20,10
56,0,0,0.40014095,6.05427,38.42817,41.18578,40.32169,8.34,1.67,30,20,10
57,0,0,0.36071565,6.27129,37.03176,41.12467,40.03666,8.34,1.67,30,20,10
58,0,0,0.36071565,6.27129,39.13922,40.6152,39.98451,8.34,1.67,30,20,10
59,0,0,0.36071565,6.27129,38.60249,40.02836,39.90590,8.34,1.67,30,20,10
60,0,0,0.36071565,6.27129,37.59354,41.06389,41.21394,8.34,1.67,30,20,10
