t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,1,0,47.25285,46.42358,46.72510,8.34,1.67,30,20,0
1,0,0,0.855616783,0.79477,33.84629,41.86144,43.94904,8.34,1.67,30,20,0
2,0,0,0.70974935,1.59771,33.40143,37.14598,39.46777,8.34,1.67,30,20,0
3,0,0,0.515257017,2.66831,33.03784,35.72242,40.76051,8.34,1.67,30,20,0
4,0,0,0.515257017,2.66831,34.8071,36.1925,39.34181,8.34,1.67,30,20,0
5,0,0,0.418012667,3.2036,33.45228,37.41872,41.48995,8.34,1.67,30,20,0
6,0,0,0.418012667,3.2036,34.39373,37.84721,42.31493,8.34,1.67,30,20,0
7,0,0,0.369389583,3.47125,34.31772,41.80919,42.61058,8.34,1.67,30,20,0
8,0,0,0.369389583,3.47125,34.98074,42.01477,43.06712,8.34,1.67,30,20,0
9,0,0,0.3207665,3.7389,36.54148,40.74505,43.40847,8.34,1.67,30,20,0
10,0,0,0.3207665,3.7389,37.23322,40.57146,43.50074,8.34,1.67,30,20,0
11,0,0,0.272143417,4.00655,37.79371,41.35468,43.55689,8.34,1.67,30,20,0
12,0,0,0.3207665,3.7389,37.10614,43.78905,43.81179,8.34,1.67,30,20,0
13,0,0,0.223520333,4.2742,38.8934,44.10462,43.93272,8.34,1.67,30,20,0
14,0,0,0.272143417,4.00655,39.5593,43.93594,43.85124,8.34,1.67,30,20,0
15,0,0,0.223520333,4.2742,39.93564,43.71947,44.0018,8.34,1.67,30,20,0
16,0,0,0.272143417,4.00655,41.48171,44.23193,44.05005,8.34,1.67,30,20,0
17,0,0,0.272143417,4.00655,41.26462,44.41821,43.99474,8.34,1.67,30,20,0
18,0,0,0.272143417,4.00655,41.11321,43.99203,44.08075,8.34,1.67,30,20,0
19,0,0,0.3207665,3.7389,41.44176,44.27008,43.85626,8.34,1.67,30,20,0
20,0,0,0.3207665,3.7389,40.95977,44.3655,44.0452,8.34,1.67,30,20,0
21,0,0,0.272143417,4.00655,42.14456,44.41381,44.07454,8.34,1.67,30,20,0
22,0,0,0.272143417,4.00655,40.409,44.03701,43.72929,8.34,1.67,30,20,0
23,0,0,0.272143417,4.00655,38.93996,44.40241,44.03329,8.34,1.67,30,20,0
24,0,0,0.272143417,4.00655,40.76412,44.20281,44.02877,8.34,1.67,30,20,0
25,0,0,0.17489725,4.54185,42.44292,44.19615,43.96896,8.34,1.67,30,20,0
26,0,0,0.126275983,4.80949,37.69698,44.09745,44.02776,8.34,1.67,30,20,0
27,0,0,0.223520333,4.2742,40.6341,44.03058,43.88408,8.34,1.67,30,20,0
28,0,0,0.272143417,4.00655,39.99213,44.07634,43.86721,8.34,1.67,30,20,0
29,0,0,0.272143417,4.00655,39.72543,44.30349,43.79001,8.34,1.67,30,20,0
30,0,0,0.272143417,4.00655,40.89944,43.9974,43.77551,8.34,1.67,30,20,0
31,0,0,0.223520333,4.2742,40.35381,44.06004,43.3109,8.34,1.67,30,20,0
32,0,0,0.223520333,4.2742,39.81437,43.97127,43.89621,8.34,1.67,30,20,0
33,0,0,0.272143417,4.00655,40.32807,43.12072,43.65491,8.34,1.67,30,20,0
34,0,0,0.3207665,3.7389,40.32869,43.86958,43.78154,8.34,1.67,30,20,0
35,0,0,0.272143417,4.00655,40.17057,44.01974,43.58465,8.34,1.67,30,20,0
36,0,0,0.223520333,4.2742,40.50837,43.84238,43.65203,8.34,1.67,30,20,0
37,0,0,0.223520333,4.2742,39.04379,43.57427,43.62641,8.34,1.67,30,20,0
38,0,0,0.272143417,4.00655,39.0075,43.61546,43.80801,8.34,1.67,30,20,0
39,0,0,0.272143417,4.00655,36.93036,43.23043,43.81348,8.34,1.67,30,20,0
40,0,0,0.272143417,4.00655,37.76284,43.85925,43.71665,8.34,1.67,30,20,0
41,0,0,0.223520333,4.2742,38.84159,43.25814,43.50847,8.34,1.67,30,20,0
42,0,0,0.272143417,4.00655,38.48246,43.6838,43.48268,8.34,1.67,30,20,0
43,0,0,0.272143417,4.00655,37.48062,43.14121,43.53133,8.34,1.67,30,20,0
44,0,0,0.272143417,4.00655,38.1801,42.98275,43.46535,8.34,1.67,30,20,0
45,0,0,0.272143417,4.00655,37.00761,43.47331,43.41146,8.34,1.67,30,20,0
46,0,0,0.223520333,4.2742,37.88682,43.29335,43.36948,8.34,1.67,30,20,0
47,0,0,0.223520333,4.2742,35.38062,42.37988,43.40881,8.34,1.67,30,20,0
48,0,0,0.272143417,4.00655,38.45791,42.08164,43.16801,8.34,1.67,30,20,0
49,0,0,0.272143417,4.00655,36.23489,42.22735,43.33443,8.34,1.67,30,20,0
50,0,0,0.272143417,4.00655,33.85825,42.90459,42.8867,8.34,1.67,30,20,0
51,0,0,0.272143417,4.00655,35.06668,40.69691,43.31762,8.34,1.67,30,20,0
52,0,0,0.272143417,4.00655,36.83747,43.01971,43.21988,8.34,1.67,30,20,0
53,0,0,0.223520333,4.2742,36.47562,41.05429,43.06852,8.34,1.67,30,20,0
54,0,0,0.272143417,4.00655,32.78152,41.8054,43.08969,8.34,1.67,30,20,0
