t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0,49.8351,57.7585,51.3780,16.67,3.33,30,20,10
1,0,0,,0.8524,46.8877,54.6264,48.7632,16.67,3.33,30,20,10
2,0,0,,1.1924,42.6603,54.1923,45.4791,16.67,3.33,30,20,10
3,0,0,,2.0423,40.7703,54.3034,45.3586,16.67,3.33,30,20,10
4,0,0,,2.7222,41.4042,54.6299,45.0538,16.67,3.33,30,20,10
5,0,0,,2.8922,40.7125,42.2757,44.4911,16.67,3.33,30,20,10
6,0,0,,3.4021,40.7337,42.7233,42.9646,16.67,3.33,30,20,10
7,0,0,,3.9121,41.8967,42.0125,44.7513,16.67,3.33,30,20,10
8,0,0,,3.7421,38.1454,41.2756,44.5359,16.67,3.33,30,20,10
9,0,0,,3.9121,39.8606,41.5198,44.8788,16.67,3.33,30,20,10
10,0,0,,4.0821,39.6808,39.1041,43.0410,16.67,3.33,30,20,10
11,0,0,,4.0821,38.6985,40.8827,43.5613,16.67,3.33,30,20,10
12,0,0,,4.0821,38.8005,39.3766,42.6671,16.67,3.33,30,20,10
13,0,0,,3.9121,38.9600,40.3856,43.0960,16.67,3.33,30,20,10
14,0,0,,4.0821,40.0712,39.6620,42.3016,16.67,3.33,30,20,10
15,0,0,,4.0821,38.0285,40.2516,41.4966,16.67,3.33,30,20,10
16,0,0,,4.252,39.1195,38.0473,42.8167,16.67,3.33,30,20,10
17,0,0,,4.422,38.0179,38.2532,41.9672,16.67,3.33,30,20,10
18,0,0,,4.422,38.1667,38.8029,41.1661,16.67,3.33,30,20,10
19,0,0,,4.592,39.1633,39.3273,41.4975,16.67,3.33,30,20,10
20,0,0,,4.422,36.1462,37.8577,40.4193,16.67,3.33,30,20,10
21,0,0,,4.422,37.5795,37.9927,41.6906,16.67,3.33,30,20,10
22,0,0,,4.422,39.6597,38.8208,41.8462,16.67,3.33,30,20,10
23,0,0,,4.422,39.7709,40.1148,41.9244,16.67,3.33,30,20,10
24,0,0,,4.252,36.5065,39.4668,42.0824,16.67,3.33,30,20,10
25,0,0,,4.422,36.0289,40.0039,41.6566,16.67,3.33,30,20,10
26,0,0,,4.422,38.7620,39.9183,40.7102,16.67,3.33,30,20,10
27,0,0,,4.592,38.1363,38.9559,41.4855,16.67,3.33,30,20,10
28,0,0,,4.592,37.3171,38.8589,41.1299,16.67,3.33,30,20,10
29,0,0,,4.422,33.9573,37.3847,40.3737,16.67,3.33,30,20,10
30,0,0,,4.422,37.4415,37.0716,41.3580,16.67,3.33,30,20,10
31,0,0,,4.592,36.1986,36.52997,39.54367,16.67,3.33,30,20,10
32,0,0,,4.592,36.47704,38.12999,39.34441,16.67,3.33,30,20,10
33,0,0,,4.422,35.6902,36.35514,39.00023,16.67,3.33,30,20,10
34,0,0,,4.422,35.68845,37.00682,38.00194,16.67,3.33,30,20,10
35,0,0,,4.592,35.08548,36.39775,37.99991,16.67,3.33,30,20,10
36,0,0,,4.422,33.63489,34.2482,37.6673,16.67,3.33,30,20,10
37,0,0,,4.422,33.81084,35.76881,37.10083,16.67,3.33,30,20,10
38,0,0,,4.592,34.7045,36.67551,37.3892,16.67,3.33,30,20,10
39,0,0,,4.592,36.57297,34.72956,35.67813,16.67,3.33,30,20,10
40,0,0,,4.422,33.8034,34.49368,35.90826,16.67,3.33,30,20,10
41,0,0,,4.422,32.80342,36.22676,35.41809,16.67,3.33,30,20,10
42,0,0,,4.422,34.66173,36.43279,36.26942,16.67,3.33,30,20,10
43,0,0,,4.592,36.32518,37.46341,37.23938,16.67,3.33,30,20,10
