t,R_top,R_bot,c_bot_3,c_top_3,kappa_bot_1,kappa_bot_2,kappa_bot_3,Qd_bot,Qd_top,Vd_1,Vd_2,Vd_3
0,0,0,,0.0000,49.77739,49.68682,49.30009,8.33,1.67,1.5,1,1
1,0,0,,0.1725,49.77723,49.79111,49.32125,8.33,1.67,1.5,1,1
2,0,0,,0.0025,49.85431,49.8108,49.46973,8.33,1.67,1.5,1,1
3,0,0,,0.0025,49.97948,49.8805,49.52401,8.33,1.67,1.5,1,1
4,0,0,,0.0025,49.99578,49.98935,49.59185,8.33,1.67,1.5,1,1
5,0,0,,0.0025,49.96526,50.09562,49.6419,8.33,1.67,1.5,1,1
6,0,0,,0.0025,50.02558,50.16153,49.68366,8.33,1.67,1.5,1,1
7,0,0,,0.1725,50.02022,50.17964,49.70719,8.33,1.67,1.5,1,1
8,0,0,,0.1725,50.12462,50.14149,49.74252,8.33,1.67,1.5,1,1
9,0,0,,0.1725,50.09996,50.12846,49.745,8.33,1.67,1.5,1,1
10,0,0,,0.1725,50.074,50.12349,49.74737,8.33,1.67,1.5,1,1
11,0,0,,0.1725,50.02677,50.1569,49.73614,8.33,1.67,1.5,1,1
12,0,0,,0.1725,50.0617,50.20475,49.74072,8.33,1.67,1.5,1,1
13,0,0,,0.1725,50.05589,50.24364,49.73953,8.33,1.67,1.5,1,1
14,0,0,,0.1725,50.10803,50.2354,49.73885,8.33,1.67,1.5,1,1
15,0,0,,0.3425,50.14166,50.21322,49.72847,8.33,1.67,1.5,1,1
16,0,0,,0.3425,50.08568,50.15775,49.72858,8.33,1.67,1.5,1,1
17,0,0,,0.5124,50.09223,50.12925,49.76165,8.33,1.67,1.5,1,1
18,0,0,,0.5124,50.11582,50.13495,49.76588,8.33,1.67,1.5,1,1
19,0,0,,0.5124,50.04217,50.22411,49.76244,8.33,1.67,1.5,1,1
20,0,0,,0.5124,50.07761,50.26858,49.75268,8.33,1.67,1.5,1,1
21,0,0,,0.5124,50.05346,50.36271,49.76334,8.33,1.67,1.5,1,1
22,0,0,,0.6824,50.06881,50.3578,49.77023,8.33,1.67,1.5,1,1
23,0,0,,0.6824,50.06746,50.30458,49.77311,8.33,1.67,1.5,1,1
24,0,0,,0.6824,50.07744,50.23257,49.77367,8.33,1.67,1.5,1,1
25,0,0,,0.6824,50.08828,50.17524,49.76825,8.33,1.67,1.5,1,1
26,0,0,,0.6824,50.06808,50.18895,49.77943,8.33,1.67,1.5,1,1
27,0,0,,0.8524,50.09358,50.26102,49.77006,8.33,1.67,1.5,1,1
28,0,0,,0.8524,50.0766,50.3065,49.67175,8.33,1.67,1.5,1,1
29,0,0,,0.8524,50.03342,50.3407,49.67503,8.33,1.67,1.5,1,1
30,0,0,,1.0224,50.04974,50.33483,49.6805,8.33,1.67,1.5,1,1
31,0,0,,1.0224,50.05544,50.32241,49.69393,8.33,1.67,1.5,1,1
