V1 [mL/min];V2 [mL/min];V3 [mL/min];h1 [mm];h2 [mm];h3 [mm];kappa1 [mS/cm];kappa2 [mS/cm];kappa3 [mS/cm]
10;0;0;2;1.5;0.5;50.886565;48.83159;49.39109
10;10;0;8;4;2;48.373645;48.88224;49.019225
20;10;0;12;5.5;3.5;48.59599;48.13584;48.463065
10;10;10;13.5;8.5;6;46.076245;46.795695;48.945025
20;10;10;15.5;14;11.5;45.536045;42.28477;47.4316
20;20;0;15;10.5;7.5;37.391855;46.905795;47.012955
30;20;0;15.5;12;10.5;44.846105;46.143165;45.425355
15;15;15;15.5;15;15;37.752315;37.18037;45.85161
30;20;10;17.5;17;16;31.766765;38.46635;37.570605
20;20;10;15.5;15;14.5;36.95205;40.802495;44.10185
30;30;0;18;16;15;33.36201;40.61974;42.898525
